"X","id","source","source_id","bioguide_id","text","policy","policy_area","policy_legislative_discussion","policy_explanation","attack","attack_personal","attack_policy","attack_target","attack_explanation","outcome_bipartisanship","outcome_creditclaiming","outcome_explanation","date","bipartisanship_explanation","creditclaiming_explanation","year","first_name","last_name","state","type","tweet_id","url"
374764,155085,"floor",31334,"K000384","Armistice Day then began to be celebrated as Armistice Day beginning in--it was first commemorated in 1921 with the burial of an unknown soldier from World War I at Arlington National Cemetery in Arlington, VA. In 1954, by now, Armistice Day had been extended to celebrate all veterans of all wars, and the name of it was changed by Congress under President Eisenhower to Veterans Day. And so we stand here today, on November 9, Military Day in Alabama.",1,"['Armed Forces and National Security']",1,"Mentions a congressional name change for a holiday",0,0,0,NA,"The text is simply recounting the history of Armistice Day and its evolution into Veterans Day. It does not contain any personal attacks or policy criticism.",0,0,"No mention of collaboration or credit.","2023-11-09","No mention of collaboration or credit.","No mention of collaboration or credit.",2023,"Timothy","Kaine","VA","sen",1567996286380527616,""
255648,190112,"statements",13528,"K000383","Although the Affordable Care Act (ACA) guarantees that employer-sponsored and marketplace health plans cover preventive services for civilians without cost sharing – including all FDA-approved contraceptive methods, counseling and related services – these protections do not apply to coverage through TRICARE, a health care program for uniformed servicemembers and their families. Due to this disparity, active duty service members and dependents of servicemembers are particularly impacted.",1,"['Health', 'Armed Forces and National Security', 'Civil Rights and Liberties, Minority Issues']",1,"Mentions ACA and its implications on TRICARE.",0,0,1,NA,"The text is not making a personal attack but is criticizing a policy, specifically the disparity in coverage for preventive services, including contraceptives, under the Affordable Care Act and TRICARE. It highlights an issue that affects uniformed servicemembers and their families without attacking any person or political party.",0,0,"Text describes a policy issue without bipartisan or credit discussion.","2024-01-12","Text describes a policy issue without bipartisan or credit discussion.","Text describes a policy issue without bipartisan or credit discussion.",2024,"Angus","King","ME","sen",1567988648817344512,""
187383,33255,"statements",10814,"M000133","This legislation is the first of its kind and recognizes the urgent humanitarian need for resettlement of climate-displaced persons. We commend Senator Markey for this forward-thinking bill that addresses both long-term climate resiliency strategies, as well as the immediate needs of those already displaced by the climate crisis,” said Krish O’Mara Vignarajah, President & CEO of Lutheran Immigration and Refugee Service.",1,"['Immigration', 'Environmental Protection', 'International Affairs']",1,"Text references a specific bill and related policy areas.",0,0,0,NA,"The text does not contain any attacks against a person or a political party. It is a statement of support for legislation and a commendation for Senator Markey's work on the bill. There is no negative language used to criticize a person's character, integrity, intelligence, morality, or patriotism, and it is not a criticism of policy but rather an endorsement.",0,1,"No bipartisanship mentioned; credit to Senator Markey for bill.","2023-11-16","No bipartisanship mentioned; credit to Senator Markey for bill.","No bipartisanship mentioned; credit to Senator Markey for bill.",2023,"Edward","Markey","MA","sen",1567928378849632256,""
68008,1644462,"statements",16447,"B001277","The bill passed out of Committee by a vote of 22-3 and will now move to the full Senate for consideration. “This bipartisan defense authorization bill makes critical investments in the two pillars of our national defense: advanced technologies and the talented workforce that build them, and the brave men and women dedicated to defending our nation.",1,"[""Armed Forces and National Security""]",NA,"The text discusses a defense authorization bill, which pertains to military operations and spending.",NA,0,0,"","The text does not criticize any policy or legislation.",1,0,"","2024-06-14","The text describes a defense authorization bill as bipartisan.","The text does not explicitly claim credit for passing the bill.",2024,"Richard","Blumenthal","CT","sen",1583533579425832960,""
106304,973505,"newsletters",14453,"C001053","This installation would allow for the increase for F-35 onboard oxygen systems, backup oxygen and related life support systems. It also authorizes a three-bay depot maintenance hangar for the KC-46 refueling tanker.",1,"['Armed Forces and National Security']",0,"Discusses military equipment and facilities.",0,0,0,NA,"The text is describing an installation related to military equipment upgrades and maintenance facilities. It does not include any attacks or criticisms of a person or a political party. It is purely technical and descriptive in nature, lacking any evaluative language about policies or individuals.",0,0,"Text describes military installations, no mention of political cooperation or credit.","2023-08-25","Text describes military installations, no mention of political cooperation or credit.","Text describes military installations, no mention of political cooperation or credit.",2023,"Tom","Cole","OK","rep",1570101361672605696,""
273940,198525,"newsletters",20400,"W000814","In the hearing, three state attorneys general outlined the impacts of the devastating homeland security crisis in the states they serve, which are caused by Secretary Mayorkas' failure to uphold his oath of office. It's past time to IMPEACH Mayorkas!",1,"['Armed Forces and National Security', 'Government Operations and Politics']",0,"References homeland security and a political official.",0,0,1,NA,"The text criticizes Secretary Mayorkas' performance and actions in office, suggesting a failure to uphold his oath, but does not attack his character, integrity, intelligence, morality, or patriotism. It constitutes policy criticism rather than a personal attack.",0,0,"No collaboration or legislative accomplishment mentioned.","2024-01-12","No collaboration or legislative accomplishment mentioned.","No collaboration or legislative accomplishment mentioned.",2024,"Randy","Weber","TX","rep",1574401314267840512,""
294891,1046037,"newsletters",9969,"W000806","It was great to get a first-hand update from our seaport leaders on their projects and discuss how we can tackle workforce and supply chain challenges and protect our seaports from Chinese espionage or cyberattacks. I also met with representatives from Florida's Trucking Industry.",1,"['Armed Forces and National Security', 'Commerce', 'Labor and Employment', 'Transportation and Public Works']",0,"Discusses supply chain, workforce, seaport security, and transportation.",0,0,0,NA,"The text is a statement discussing updates on seaport projects, workforce and supply chain challenges, and protection from espionage or cyberattacks. There is no personal attack or criticism of policy mentioned.",0,0,"Doesn't mention bipartisanship or credit-claiming.","2023-05-22","Doesn't mention bipartisanship or credit-claiming.","Doesn't mention bipartisanship or credit-claiming.",2023,"Daniel","Webster","FL","rep",1571936886914162688,""
66358,1267866,"floor",39542,"B001277","And, unfortunately, we missed that opportunity. The second invasion occurred 2 year ago, and the effects in Ukraine are visible, again, to anyone who would visit: bombed-out buildings; transformers for power, destroyed; Ukraine's delivery of grain to a world that needs more food, blocked.",1,"['International Affairs', 'Agriculture and Food', 'Emergency Management']",0,"References international conflict, food supply, and emergency aftermath.",0,0,1,NA,"The text is a description of the consequences of an invasion in Ukraine, discussing its negative impact. It does not make any personal attacks against individuals or political parties. It qualifies as policy criticism by implicitly criticizing the actions that led to the invasion and its effects without attacking the character, integrity, intelligence, morality, or patriotism of any person or group.",0,0,"Text lacks elements of bipartisanship or credit-claiming.","2024-02-08","Text lacks elements of bipartisanship or credit-claiming.","Text lacks elements of bipartisanship or credit-claiming.",2024,"Richard","Blumenthal","CT","sen",1583780788062986240,""
555343,1229036,"floor",41088,"C001125","Mr. Speaker, I yield myself such time as I may consume. Mr. Speaker, I rise today in support of HR 6174, the DHS Biodetection Improvement Act.",1,"['Armed Forces and National Security', 'Emergency Management']",1,"Support for specific bill HR 6174 mentioned.",0,0,0,NA,"The text is a formal statement of support for a piece of legislation and does not contain any personal attacks or criticisms of a person or political party.",0,0,"No mention of collaboration or personal accomplishments.","2024-03-05","No mention of collaboration or personal accomplishments.","No mention of collaboration or personal accomplishments.",2024,"Troy","Carter","LA","rep",1567573414499520512,""
101789,178047,"statements",8642,"C001068","See my release and the exchange with Mayorkas here. Meeting with West Point Cadet Sophie Fernandez Congressman Cohen and Cadet Fernandez Last year, I nominated Sophie Fernandez of Memphis for an appointment to the US Military Academy at West Point.",1,"['Armed Forces and National Security']",0,"Mentions appointment to US Military Academy.",0,0,0,NA,"The text is neither a personal attack nor policy criticism. It merely states a fact about nominating someone for an appointment to a military academy, which does not target anyone's character, integrity, intelligence, morality, or patriotism.",0,1,"Nomination of cadet is a personal accomplishment.","2023-07-28","Nomination of cadet is a personal accomplishment.","Nomination of cadet is a personal accomplishment.",2023,"Steve","Cohen","TN","rep",1577749341590241280,""
379128,161227,"statements",9249,"P000607","This stopgap is not perfect, however it will prevent unnecessary harm to American families, farmers, small businesses, and servicemembers, while giving us more time to reach a final spending agreement. I urge my Republican colleagues in the House to work over the next 45 days in a bipartisan manner, like the Senate, to fund our government long term and provide necessary aid to Ukraine in their fight for freedom.”",1,"['Economics and Public Finance', 'Agriculture and Food', 'Commerce', 'Armed Forces and National Security', 'International Affairs']",1,"Text implicitly refers to a funding bill.",0,0,1,NA,"The text is not making a personal attack on any individual or political party. It is expressing a policy criticism by encouraging a bipartisan approach to government funding and aid to Ukraine. There is an implicit critique of the current or past actions but no direct attack on character, integrity, intelligence, morality, or patriotism.",1,0,"Text calls for bipartisan work; no credit claimed.","2023-09-30","Text calls for bipartisan work; no credit claimed.","Text calls for bipartisan work; no credit claimed.",2023,"Mark","Pocan","WI","rep",1577788223274754048,""
606796,321048,"floor",23131,"D000631","Mr. Speaker, I rise in strong support of H Res. 492, and I yield myself such time as I may consume. Mr. Speaker, while the Congress is rightly concerned about Iran's nefarious nuclear program, its missile proliferation, and its destabilizing activities around the globe, we cannot forget those who continue to struggle for religious freedom and democracy in Iran.",1,"['Armed Forces and National Security', 'Foreign Trade and International Finance', 'International Affairs']",1,"References H Res. 492 and discusses international security.",0,0,1,NA,"The text is expressing criticism of Iran's nuclear program, missile proliferation, and destabilizing activities, which are matters of policy. The text also expresses support for those struggling for religious freedom and democracy in Iran, which is an endorsement of certain values rather than an attack on an individual or political party.",0,0,"No mention of collaboration or credit.","2023-09-12","No mention of collaboration or credit.","No mention of collaboration or credit.",2023,"Madeleine","Dean","PA","rep",1582504430066225152,""
652354,1076641,"newsletters",8180,"S001217","And we're not spending enough money on F-35s.' … Last year, Sen. Scott's proposal to retire 63 A-10s was defeated by lawmakers siding with Arizona's Sen. Kelly, who also sat on the Armed Services committee.""",1,"['Armed Forces and National Security']",1,"References military spending and specific legislative proposal.",0,0,1,NA,"The text is discussing a policy decision related to military spending and the actions of lawmakers. It does not attack the character, integrity, intelligence, morality, or patriotism of any person or political party. Instead, it criticizes a policy choice, therefore it is not a personal attack but policy criticism.",0,0,"No mention of collaboration or credit for actions.","2023-04-14","No mention of collaboration or credit for actions.","No mention of collaboration or credit for actions.",2023,"Rick","Scott","FL","sen",1573010407807406080,""
287464,103436,"floor",35401,"V000128","Due to the FISA Court's certification process, the administration has acknowledged that, even in the absence of a formal 4-month extension, the government is able to conduct surveillance authorized under section 702 until April 11, 2024. I also understand that a formal extension of FISA authorities through April 2024, would effectively reset the clock and allow the administration to obtain a fresh certification from the FISA Court, thereby effectively extending the authority for an additional 12 months beyond the 4-month extension.",1,"['Armed Forces and National Security', 'Law']",1,"Mentions FISA Court's certification, surveillance law",0,0,0,NA,"The text is providing information about the FISA Court's certification process and the government's ability to conduct surveillance. It does not contain any language that attacks the character, integrity, intelligence, morality, or patriotism of a person or a political party, nor does it criticize a policy. It is a straightforward statement about procedural aspects of the FISA authorization and does not express a negative opinion.",0,0,"Text lacks mention of cross-party cooperation or accomplishments.","2023-12-13","Text lacks mention of cross-party cooperation or accomplishments.","Text lacks mention of cross-party cooperation or accomplishments.",2023,"Chris","Van Hollen","MD","sen",1565775091383803904,""
464642,259484,"statements",6225,"S001190","You can watch the full remarks at the reintroduction of the assault weapons ban here. Keep reading for more information on happenings in Washington and around the district.",1,"['Armed Forces and National Security', 'Civil Rights and Liberties, Minority Issues', 'Crime and Law Enforcement']",1,"Mentions reintroduction of specific legislation.",0,0,0,NA,"The provided text does not contain any personal attacks or criticism. It appears to be informational, directing readers to view remarks and find more information on political happenings.",0,0,"No mention of cross-party cooperation or accomplishments.","2023-02-15","No mention of cross-party cooperation or accomplishments.","No mention of cross-party cooperation or accomplishments.",2023,"Bradley","Schneider","IL","rep",1582486001196285952,""
201638,1553797,"statements",15795,"S001148","WASHINGTON—This week, the House Committee on Appropriations voted to advance the Fiscal Year 2025 Military Construction, Veterans Affairs, and Related Agencies Appropriations Bill. Idaho Congressman Mike Simpson–Chairman of the House Interior and Environment Appropriations Subcommittee–supported this advancement.",1,"[""Armed Forces and National Security""]",NA,"The text discusses the advancement of an appropriations bill focused on military construction and veterans affairs.",NA,0,0,"","The text does not contain an insult but merely reports on procedural progress.",0,1,"","2024-05-24","The text does not mention or imply bipartisan cooperation or efforts.","The text mentions Idaho Congressman Mike Simpson's support for the advancement of the appropriations bill.",2024,"Michael","Simpson","ID","rep",1574390771242893312,""
537995,1618284,"newsletters",27010,"N000026","Service Academy Nominations Are Now Open My office is now accepting Service Academy Nominations. One of the privileges of serving in the United States House of Representatives is the opportunity to nominate outstanding young people from the 22nd Congressional District of Texas to be considered for appointment to our nation's service academies.",1,"[""Armed Forces and National Security""]",NA,"Service academies relate to military personnel training and education, falling under armed forces and national security policies.",NA,0,0,"","The text does not criticize a person, party, or policy.",0,1,"","2024-06-21","There is no discussion of bipartisanship or collaboration.","Text takes credit for being able to nominate young people for service academies as a privilege of office.",2024,"Troy","Nehls","TX","rep",1572278862641352704,""
458916,1425517,"floor",44519,"S001209","Finally, in December 2018, Ms. Stone was requested to lead, develop, and implement the Defense Health Agency's Quadruple Aim Performance Planning process. Since then, Ms. Stone created a single, integrated, transparent process to align military treatment facilities with the Defense Health Agency's priorities.",1,"['Armed Forces and National Security', 'Health']",0,"Discusses military health agency priorities.",0,0,0,NA,"The text describes Ms. Stone's role and actions in developing and implementing a planning process within the Defense Health Agency. There is no personal attack or policy criticism in the text.",0,1,"Text describes individual's accomplishments.","2024-04-12","Text describes individual's accomplishments.","Text describes individual's accomplishments.",2024,"Abigail","Spanberger","VA","rep",NA,""
389140,1540063,"floor",49270,"S001203","Tribal self-governance is an essential step here. Self-governance-- what it does is it recognizes that Tribal nations' authority to administer Federal programs--they have that authority within their own communities, and it recognizes that.",1,"['Government Operations and Politics', 'International Affairs']",NA,"The text discusses the administration of Federal programs by Tribal nations, which falls under Government Operations and Politics. It also touches on issues related to the recognition of Tribal authority in relation to Federal programs, which falls under International Affairs.",NA,0,0,"","The text discusses Tribal self-governance and the recognition of Tribal nations' authority to administer Federal programs.",0,0,"","2024-05-21","","",2024,"Tina","Smith","MN","sen",1586048404148609024,""
83876,1416274,"statements",15042,"C001067","FOR IMMEDIATE RELEASE: April 9, 2024 MEDIA CONTACT: e: brian.phillips@mail.house.gov c: 202.913.0126 Washington, DC — Today, Congresswoman Yvette D Clarke (NY-09) and Senator Peter Welch (D-VT) are urging their colleagues to pass the bipartisan Affordable Connectivity Program Extension Act now so more than 1 million veterans and servicemembers can keep their access to high-speed affordable internet. The bipartisan Affordable Connectivity Program Extension Act would provide $7 billion for the Affordable Connectivity Program (ACP), which provides affordable high-speed internet options to qualifying households across the US Over 23 million Americans utilize the ACP, and over 1 million ACP subscribers are veterans and survivors.",1,"['Armed Forces and National Security', 'Science, Technology, Communications']",1,"References specific bill and policy areas.",0,0,0,NA,"This text is a press release urging colleagues to pass a bipartisan act. It does not contain any personal attacks or policy criticism; instead, it provides information on legislation designed to aid veterans and servicemembers with internet access.",1,0,"Mentions bipartisan act and urging colleagues.","2024-04-09","Mentions bipartisan act and urging colleagues.","Mentions bipartisan act and urging colleagues.",2024,"Yvette","Clarke","NY","rep",1569899158823370752,""
600081,40511,"newsletters",18227,"K000394","Our office was also happy to help put on a Veterans Services Expo in Mercer County and host a Telephone Claims Consultations Clinic to help veterans, servicemembers, and their loved ones access and understand local resources available to them. If you missed these and need assistance with your benefits, give us a call!",1,"['Armed Forces and National Security']",0,"Discusses support for veterans, no specific legislation mentioned.",0,0,0,NA,"The text is offering assistance and information about services for veterans and their families. It is neither a personal attack nor a criticism of policy, but rather a statement about constituent services.",0,1,"Mentions helping veterans; no bipartisanship","2023-11-17","Mentions helping veterans; no bipartisanship","Mentions helping veterans; no bipartisanship",2023,"Andy","Kim","NJ","rep",1575897247262584832,""
805164,1103292,"newsletters",6721,"L000596","We need to move our supply chains away from China and demand ethical sourcing. This isn't just the right thing to do, it's the right thing for America.",1,"['Foreign Trade and International Finance', 'Commerce']",0,"Discusses trade and commerce, no specific legislation mentioned.",0,0,1,NA,"The text is not making a personal attack against a person or a political party but is instead providing criticism of the policy regarding supply chains and ethical sourcing, suggesting that changes should be made for the betterment of America.",0,0,"No mention of collaboration or achievements.","2023-03-04","No mention of collaboration or achievements.","No mention of collaboration or achievements.",2023,"Anna","Paulina Luna","FL","rep",1580228729691045888,""
137379,1221668,"floor",41852,"L000577","Yet they are still not willing to allow us to vote on them, including vote on some things that are very significant and have enormous impact on the safety, security, and prosperity of the American people. Why?",1,"['Armed Forces and National Security', 'Economics and Public Finance']",0,"References to safety, security and prosperity suggest policy areas but no specific legislation.",0,0,1,NA,"The text is expressing frustration about the refusal to allow votes on certain issues, which is a criticism of policy or a legislative process. There is no direct attack on the character, integrity, intelligence, morality, or patriotism of a person or a political party.",0,0,"No mention of cross-party cooperation or accomplishments.","2024-03-08","No mention of cross-party cooperation or accomplishments.","No mention of cross-party cooperation or accomplishments.",2024,"Mike","Lee","UT","sen",1577701614655344640,""
140688,339310,"floor",20796,"G000386","It is because of my oversight that I placed a hold on the nomination of Tanya Bradsher to be Deputy Secretary at the VA. I urge my colleagues to oppose the nomination as well. So I am here to tell you why.",1,"['Armed Forces and National Security']",0,"Discusses a nomination related to VA.",0,0,1,NA,"The text is expressing policy criticism by urging colleagues to oppose a nomination, but it is not attacking the character, integrity, intelligence, morality, or patriotism of a person or a political party.",0,1,"Individual takes credit for action, no bipartisan discussion.","2023-07-18","Individual takes credit for action, no bipartisan discussion.","Individual takes credit for action, no bipartisan discussion.",2023,"Charles","Grassley","IA","sen",1565357807192399872,""
697538,1096039,"newsletters",7092,"D000032","Enews Sign Up | Visit My Website | View Online Weekly Wrap-Up with Congressman Byron Donalds March 13, 2023 Throughout the past two weeks, your House Republican majority was hard at work delivering legislative wins on behalf of the American people. We passed S 619 to declassify all information relating to potential links between the Wuhan Institute of Virology & COVID-19's origins.",1,"['Health', 'Government Operations and Politics', 'International Affairs']",1,"Discusses health topic and specific legislation S 619",0,0,0,NA,"This text is simply a description of legislative activity and does not contain any attacks on a person or political party, nor does it include policy criticism. It is an informational statement regarding legislative actions taken by the House Republican majority.",0,1,"Mentions legislative wins, no bipartisanship.","2023-03-13","Mentions legislative wins, no bipartisanship.","Mentions legislative wins, no bipartisanship.",2023,"Byron","Donalds","FL","rep",1570771094990360576,""
503931,129934,"newsletters",19402,"M001198","Farmers who need phosphate fertilizer to grow crops, the retailers who sell phosphate fertilizers, and the organizations who represent them should be allowed to respond and give input. Fertilizer is critical to national security and national defense.",1,"['Agriculture and Food', 'Armed Forces and National Security']",0,"Discusses agriculture and national security, no specific legislation mentioned.",0,0,0,NA,"The text does not contain a personal attack or criticism of a policy. It is a statement advocating for stakeholders in the agriculture sector to have input on matters concerning phosphate fertilizers, which are described as critical to national security and national defense.",0,0,"No mention of cross-party cooperation or political achievements.","2023-12-15","No mention of cross-party cooperation or political achievements.","No mention of cross-party cooperation or political achievements.",2023,"Roger","Marshall","KS","sen",1572208374904946688,""
130607,342677,"floor",20033,"G000559","What we are doing here in the NDAA is to set out a mechanism using the military to bring into the economy new technologies that are sustainable and that reduce greenhouse gases. If you want to buy steel from several American steel companies, this amendment would make it impossible for the military to buy that steel because they are using sustainable methods of creating the steel.",1,"['Armed Forces and National Security', 'Energy', 'Commerce']",1,"Discusses NDAA and its economic, technological impacts.",0,0,1,NA,"The text is discussing a policy regarding the National Defense Authorization Act (NDAA) and the use of sustainable methods in the military's procurement process. It criticizes a potential amendment that would impact the military's ability to purchase steel from certain companies using sustainable methods but does not attack any individual or political party's character, integrity, intelligence, morality, or patriotism.",0,0,"No mention of cross-party cooperation or accomplishments.","2023-07-13","No mention of cross-party cooperation or accomplishments.","No mention of cross-party cooperation or accomplishments.",2023,"John","Garamendi","CA","rep",1568965706674323456,""
471539,86111,"statements",13020,"K000389","Well, my overarching priority is how do we frame progressive economic policies in a way that has the broadest possible appeal. The fundamental challenge of this country was the deindustrialization and shipping of jobs offshore.",1,"['Economics and Public Finance', 'Foreign Trade and International Finance']",0,"Discusses economic policies and job offshoring.",0,0,1,NA,"The text does not make a personal attack against a person or a political party. It is a statement of policy criticism focusing on economic issues and does not target any individual's character, integrity, intelligence, morality, or patriotism.",0,0,"Text lacks mention of cross-party cooperation or individual accomplishments.","2023-12-19","Text lacks mention of cross-party cooperation or individual accomplishments.","Text lacks mention of cross-party cooperation or individual accomplishments.",2023,"Ro","Khanna","CA","rep",1571560123784372224,""
411936,1234191,"newsletters",22198,"D000629","The Valentine's for Veterans program is one small yet personal way we can show our appreciation for those who have worked to keep us safe. Supporting our veterans is something I've been glad to work on consistently in a bipartisan way.",1,"['Armed Forces and National Security']",0,"Mentions support for veterans, no specific legislation.",0,0,0,NA,"The provided text is a positive statement expressing appreciation for veterans and bipartisan support for them. It does not contain any personal attacks or policy criticism.",1,1,"Mentions bipartisan work; implies personal involvement in supporting veterans.","2024-03-01","Mentions bipartisan work; implies personal involvement in supporting veterans.","Mentions bipartisan work; implies personal involvement in supporting veterans.",2024,"Sharice","Davids","KS","rep",1571930923603750912,""
645446,996642,"newsletters",12989,"M001205","If they were to do so, under the Unfair Tax Prevention Act, the United States will impose reciprocal tax measures on the foreign country for as long as the UTPR surtax remains in place. Foreign countries have no right to dictate how Americans are taxed.",1,"['Taxation', 'Foreign Trade and International Finance']",1,"References specific act and international tax measures.",0,0,1,NA,"The text is not a personal attack; it does not target the character, integrity, intelligence, morality, or patriotism of a person or a political party. Instead, it expresses policy criticism regarding taxation and the rights of foreign countries to influence American tax legislation.",0,0,"No mention of cross-party cooperation or accomplishments.","2023-07-23","No mention of cross-party cooperation or accomplishments.","No mention of cross-party cooperation or accomplishments.",2023,"Carol","Miller","WV","rep",1573321560794042368,""
451013,1116398,"newsletters",5908,"L000585","That's why the American people elected a Republican House Majority to address these kitchen table issues, rein in out-of-control spending, and place a check on the Biden Administration. I agree that we can and should work in a bipartisan way on issues including combating growing threats from China and the increasing harm fentanyl and opioids are doing to our communities.",1,"['Economics and Public Finance', 'Armed Forces and National Security', 'Crime and Law Enforcement', 'Drug Policy']",0,"Discusses policy areas without specific legislation.",0,0,1,NA,"The text is expressing a policy criticism regarding government spending and the need for checks on the current administration. It does not attack the character, integrity, intelligence, morality, or patriotism of any person or political party.",1,0,"Mentions willingness to work together.","2023-02-12","Mentions willingness to work together.","Mentions willingness to work together.",2023,"Darin","LaHood","IL","rep",1578378779923304448,""
323332,344398,"floor",19424,"L000578","If they get the weapons they need and the ability to deliver them, Israel is going to have some very, very tough decisions to make on preserving themselves. Israel is not getting much of a good signal coming from the current administration in the White House that the United States is going to be there to back them up like they need to be.",1,"['Armed Forces and National Security', 'International Affairs', 'Foreign Trade and International Finance']",0,"Discusses military support and international relations.",0,0,1,NA,"The text expresses criticism of the current U.S. administration's policy or signals towards Israel regarding security and support, but it does not attack the character, integrity, intelligence, morality, or patriotism of a person or a political party.",0,0,"Text does not discuss bipartisanship or credit-claiming.","2023-07-12","Text does not discuss bipartisanship or credit-claiming.","Text does not discuss bipartisanship or credit-claiming.",2023,"Doug","LaMalfa","CA","rep",1569427608084914176,""
259408,217643,"newsletters",17422,"S001189","Keep reading for the full update. Sincerely, Congressman Austin Scott Thanking our Deployed Servicemembers and Those who Support Them Thursday was the National Day of the Deployed, where we honored the brave men and women in uniform deployed on missions worldwide.",1,"['Armed Forces and National Security']",0,"Mentions servicemembers, implying national security.",0,0,0,NA,"The text is expressing gratitude and honoring servicemembers on the National Day of the Deployed. There is no personal attack or policy criticism present in the text.",0,0,"No mention of collaboration or credit for legislation.","2023-10-30","No mention of collaboration or credit for legislation.","No mention of collaboration or credit for legislation.",2023,"Austin","Scott","GA","rep",1567495722492108800,""
646684,100165,"newsletters",19673,"S001217","The Jewish Federations of North America (JFNA) represents nearly 400 independent Jewish communities, and works closely with the Government of Israel and a variety of agencies to secure the Jewish State; help the most vulnerable groups, including immigrants and Holocaust survivors; and strengthen and rebuild Jewish life throughout the world. Yesterday, Senator Scott announced a donation to The Florida Holocaust Museum and will be making an additional announcement tomorrow.",1,"['International Affairs', 'Immigration', 'Civil Rights and Liberties, Minority Issues']",0,"Discusses international relations and support for vulnerable groups.",0,0,0,NA,"The text is informational and does not contain any personal attacks or policy criticism. It describes the role of the Jewish Federations of North America and mentions Senator Scott's charitable actions, without making any negative statements about his character, integrity, intelligence, morality, or patriotism. There is also no criticism or negative opinion expressed about any policies.",0,1,"Announcement of donation, no bipartisan discussion.","2023-12-22","Announcement of donation, no bipartisan discussion.","Announcement of donation, no bipartisan discussion.",2023,"Rick","Scott","FL","sen",1577048145527156736,""
488023,163498,"newsletters",18852,"D000628","Enough is enough! The other bill the House passed was the No Funds for Iranian Terrorism Act (HR 5961).",1,"['Foreign Trade and International Finance', 'Armed Forces and National Security']",1,"References specific legislation, HR 5961.",0,0,1,NA,"The text does not attack a person or a political party's character, integrity, intelligence, morality, or patriotism. It mentions a bill passed by the House, which is a reference to policy and legislation, thus constituting policy criticism.",0,0,"No mention of collaboration or accomplishments.","2023-12-03","No mention of collaboration or accomplishments.","No mention of collaboration or accomplishments.",2023,"Neal","Dunn","FL","rep",1577120363686739968,""
369800,309309,"floor",25654,"C001091","When Democrats were in the majority, we voted for billions of dollars in funding for Customs and Border Protection and Immigration and Customs Enforcement, and we fought to rebuild a functioning immigration system from what had been left behind by the Trump administration.",1,"['Armed Forces and National Security', 'Immigration']",0,"Discusses immigration and security funding, not specific legislation.",0,0,1,NA,"The text expresses criticism towards the policies and actions of the Trump administration regarding immigration but does not attack the character, integrity, intelligence, morality or patriotism of a person or political party. It is focusing on policy decisions and outcomes, not personal attributes.",0,1,"Text claims actions by Democrats, no bipartisan effort mentioned.","2023-09-27","Text claims actions by Democrats, no bipartisan effort mentioned.","Text claims actions by Democrats, no bipartisan effort mentioned.",2023,"Joaquin","Castro","TX","rep",1572336260278112256,""
319895,1230417,"newsletters",22362,"M001195","Congratulations Ethan and Lucas! Responsible Spending I voted against the most recent Continuing Resolution because I cannot vote to fund a government that allows millions of illegal aliens to invade our country and then uses our tax dollars to resettle them throughout the country.",1,"['Armed Forces and National Security', 'Immigration', 'Economics and Public Finance']",1,"Discusses voting on a Continuing Resolution.",0,0,1,NA,"The text expresses strong disapproval of government policy regarding immigration and the use of tax dollars but it does not attack the character, integrity, intelligence, morality, or patriotism of a person or political party. It is purely policy criticism.",0,1,"Politician claims a vote decision, no bipartisan discussion.","2024-03-05","Politician claims a vote decision, no bipartisan discussion.","Politician claims a vote decision, no bipartisan discussion.",2024,"Alexander","Mooney","WV","rep",1577442754061537280,""
555817,368704,"floor",16114,"W000826","That is why I stand here today to support the bipartisan measure by my colleagues Representative Young Kim and Representative Gerry Connolly. HR 1107 calls on the State Department to work diplomatically within all relevant international organizations and treaties where China is treated as a developing nation to change its status.",1,"['Foreign Trade and International Finance', 'International Affairs']",1,"Supports specific legislation; relates to foreign policy.",0,0,1,NA,"The text is a statement of support for a bipartisan measure dealing with the diplomatic status of China. It does not make any attacks on the character, integrity, intelligence, morality, or patriotism of any person or political party. It is a criticism of a policy related to international relations and the treatment of China as a developing nation.",1,0,"Mentions support for a bipartisan measure.","2023-03-27","Mentions support for a bipartisan measure.","Mentions support for a bipartisan measure.",2023,"Susan","Wild","PA","rep",1575247943040438272,""
147732,1562870,"floor",51264,"M001157","This white paper demonstrates the need for this bill, and I am proud to have co-introduced this with Representative McGovern. The Promoting a Resolution to the Tibet-China Dispute Act helps Tibetans in several ways.",1,"['International Affairs']",NA,"The text discusses a bill related to the Tibet-China dispute, which concerns international relations and diplomacy.",NA,0,0,"None","There is no questioning of character, integrity, intelligence, morality, or patriotism of an individual or political party.",1,1,"","2024-06-11","The text discusses co-introduction of the bill, indicating cooperation between legislators.","The speaker takes credit for co-introducing the bill.",2024,"Michael","McCaul","TX","rep",1587490096214843392,""
